,acc,f1_macro,f1_micro,name,classes,num_size
0,0.6488294314381271,0.6308424951496266,0.6488294314381271,opv,2,500
1,0.7617486338797814,0.3949085432203843,0.40437158469945356,FreeSolv,5,50
2,0.6669979078704427,0.6646400204464658,0.6669979078704427,qmug,2,50
3,0.6030286641427799,0.5902118197804747,0.6030286641427799,Lipo,2,50
4,0.7689778413152252,0.4079865415845565,0.4224446032880629,Lipo,5,500
5,0.8976109215017065,0.896860039425514,0.8976109215017065,photoswitch,2,100
6,0.8676691729323307,0.6643772541451212,0.6691729323308271,FreeSolv,5,200
7,0.7661202185792348,0.41478334807627804,0.41530054644808745,FreeSolv,5,50
8,0.7974499089253186,0.4897429102475872,0.4936247723132969,FreeSolv,5,50
9,0.5027573529411765,0.33943166757008203,0.5027573529411765,opv,2,10
10,0.7509649749821301,0.3717855675672891,0.3774124374553252,Lipo,5,500
11,0.7604002859185133,0.39642786658349016,0.4010007147962831,Lipo,5,500
12,0.8706766917293234,0.6783466415324314,0.6766917293233082,FreeSolv,5,200
13,0.6848025959978367,0.20426259913423572,0.21200648999459168,Lipo,5,50
14,0.7068685776095187,0.2587241894233501,0.26717144402379667,Lipo,5,50
15,0.8143344709897612,0.5228162529116929,0.5358361774744027,photoswitch,5,100
16,0.8076152304609219,0.4811607659849342,0.5190380761523046,FreeSolv,5,100
17,0.6753838009528852,0.16504172951120485,0.18845950238221282,Lipo,5,10
18,0.4706193753308629,0.4026975682929482,0.4706193753308629,Lipo,2,10
19,0.7509649749821301,0.3701867095920116,0.3774124374553252,Lipo,5,500
20,0.890909090909091,0.7306130520764668,0.7272727272727273,FreeSolv,5,500
21,0.7106960950764007,0.23891401808559717,0.2767402376910017,FreeSolv,5,10
22,0.6957555178268251,0.20838039586932483,0.23938879456706283,FreeSolv,5,10
23,0.7382335269377128,0.4247033068325844,0.7382335269377128,qmug,2,1000
24,0.5755517826825127,0.5144110275689223,0.5755517826825127,FreeSolv,2,10
25,0.7089494163424124,0.24908969151249954,0.2723735408560311,Lipo,5,100
26,0.6789473684210526,0.6598679383712399,0.6789473684210526,photoswitch,2,10
27,0.8626566416040099,0.6497607451080919,0.656641604010025,FreeSolv,5,200
28,0.6772895712016941,0.1748417489114444,0.19322392800423505,Lipo,5,10
29,0.9393939393939394,0.8490326396261446,0.8484848484848485,FreeSolv,5,500
30,0.8949494949494949,0.7329299366301933,0.7373737373737373,FreeSolv,5,500
31,0.6895619253650621,0.21507069137890644,0.2239048134126555,Lipo,5,50
32,0.7311359623307828,0.3221695391738006,0.32783990582695705,Lipo,5,200
33,0.81563126252505,0.535150602041231,0.5390781563126252,FreeSolv,5,100
34,0.6922734852695942,0.22607763699635836,0.23068371317398556,Lipo,5,100
35,0.6425389755011136,0.6306671637947271,0.6425389755011136,opv,2,200
36,0.6943972835314092,0.153330300465516,0.23599320882852293,FreeSolv,5,10
37,0.6934559221200648,0.20398424004151985,0.23363980530016226,Lipo,5,50
38,0.5782442748091603,0.5714454888609282,0.5782442748091603,opv,2,50
39,0.7312365975696926,0.7311210615633115,0.7312365975696926,Lipo,2,500
40,0.6812386156648452,0.6728325904030893,0.6812386156648452,FreeSolv,2,50
41,0.7245901639344262,0.31093486244148844,0.3114754098360656,FreeSolv,5,50
42,0.6896434634974533,0.20171333401973607,0.22410865874363328,FreeSolv,5,10
43,0.9111111111111111,0.7755239768076738,0.7777777777777778,FreeSolv,5,500
44,0.8188376753507015,0.5184514030011595,0.5470941883767535,FreeSolv,5,100
45,0.7559198542805101,0.36128823346227723,0.38979963570127507,FreeSolv,5,50
46,0.3938879456706282,0.38362573099415204,0.3938879456706282,FreeSolv,2,10
47,0.6847110867035713,0.19100173000117665,0.21177771675892818,qmug,5,10
48,0.7270903010033445,0.2953562967648692,0.3177257525083612,opv,5,500
49,0.5759870200108167,0.5435361451397969,0.5759870200108167,Lipo,2,50
50,0.8316633266533067,0.8295931310371744,0.8316633266533067,FreeSolv,2,100
51,0.881704260651629,0.7055618981174798,0.7042606516290727,FreeSolv,5,200
52,0.8621700879765396,0.861937373476332,0.8621700879765396,photoswitch,2,50
53,0.8847117794486214,0.7129227430390963,0.7117794486215538,FreeSolv,5,200
54,0.7782991202346041,0.43211291699392973,0.44574780058651026,photoswitch,5,50
55,0.711124190700412,0.27768986733413836,0.27781047675103004,Lipo,5,200
56,0.8140280561122244,0.5091722930952691,0.5350701402805611,FreeSolv,5,100
57,0.7951190163281863,0.479346127127954,0.4877975408204659,qmug,5,1000
58,0.9090909090909091,0.9090537919771359,0.9090909090909091,FreeSolv,2,500
59,0.7492179332925699,0.3542777349883811,0.3730448332314247,qmug,5,100
60,0.8636591478696742,0.6482001286084539,0.6591478696741855,FreeSolv,5,200
61,0.7231329690346083,0.7198979591836735,0.7231329690346083,FreeSolv,2,50
62,0.7382429457674605,0.4247064241307852,0.7382429457674605,qmug,2,500
